Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Proper Good,https://www.crunchbase.com/organization/proper-good,"Commerce and Shopping, Financial Services, Food and Beverage, Health Care, Transportation",1-10,"Food and Beverage, Food Delivery, Food Processing, Gift Card, Nutrition, Wholesale","Bozeman, Montana, United States",Proper Good offers 90-second tasty meals with clean ingredients delivered directly to the customer's door.,"28,616",,"25,768",https://eatpropergood.com/,hello@eatpropergood.com,https://www.linkedin.com/company/eatpropergood/,855 554 7444,2025-01-13,Venture - Series Unknown,2621356,USD,2621356
Tangible Science,https://www.crunchbase.com/organization/tangible-science,"Biotechnology, Consumer Goods, Health Care, Science and Engineering",1-10,"Biotechnology, Consumer Goods, Health Care, Medical Device","Redwood City, California, United States",Tangible Science is a developer of contact lenses designed to reduce lens discomfort in dry eye diseases.,"28,628",,"25,779",http://www.tangiblescience.com,info@tangiblescience.com,https://www.linkedin.com/company/tangible-science/,+1 650 241 1045,2019-11-06,Venture - Series Unknown,1350000,USD,1350000
Arcade Therapeutics,https://www.crunchbase.com/organization/arcade-therapeutics,"Biotechnology, Health Care, Mobile, Science and Engineering",1-10,"Health Care, Life Science, Medical, Mental Health, mHealth, Neuroscience, Therapeutics","New York, New York, United States","Arcade Therapeutics uses breakthrough neuroscientific research to improve mental health through casual, accessible mobile games.","28,633",,"25,782",https://arcadetherapeutics.com/,,https://www.linkedin.com/company/arcade-therapeutics/,,2024-02-16,Seed,1495000,USD,1495000
Blue Fever,https://www.crunchbase.com/organization/blue-fever,"Health Care, Information Technology, Internet Services, Media and Entertainment",1-10,"Information Technology, Mental Health, Social Media, Wellness","Los Angeles, California, United States","Blue Fever is a user-led, interactive community that provides young people with a safe space to care for their mental wellness.","28,659",,"25,808",https://www.bluefever.com/,greta@bluefever.com,https://www.linkedin.com/company/blue-fever,,2022-06-17,Venture - Series Unknown,3030110,USD,3030110
Vent Creativity,https://www.crunchbase.com/organization/vent-creativity,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Medical","New York, New York, United States",AI based digital twin company for FDA cleared surgical planning from medical images,"28,669",,"25,818",https://www.ventcreativity.com,info@ventcreativity.com,https://www.linkedin.com/company/vent-creativity/,9739466994,2025-01-01,Seed,2300000,USD,2300000
Sonavi Labs,https://www.crunchbase.com/organization/sonavi-labs,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Mobile, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Home Health Care, Information Technology, Machine Learning, Medical, Medical Device, mHealth, Software","Baltimore, Maryland, United States",Sonavi Labs focuses on developing modern medical products that analyze body sounds for the diagnosis of diseases.,"28,687",,"25,835",http://www.sonavilabs.com/,info@sonavilabs.com,https://www.linkedin.com/company/sonavilabs/,(410) 630-0123,2023-06-06,Non-equity Assistance,,,
Azadi,https://www.crunchbase.com/organization/sanitashealth,"Artificial Intelligence (AI), Data and Analytics, Health Care, Software",1-10,"Health Care, Machine Learning, Mental Health","Los Angeles, California, United States",The first-of-its kind AI driven mental health for BIPOC and underrepresented populations.,"28,704",,"25,850",https://www.azadihealth.com/,Rodney@gotosanitas.com,https://www.linkedin.com/company/sanitashealth/,,2023-10-05,Pre-Seed,60000,USD,60000
Ember Copilot,https://www.crunchbase.com/organization/ember-copilot,"Health Care, Information Technology, Software",1-10,"Information Technology, Medical, Software","San Francisco, California, United States",Ember Copilot is a Software Development firm offering a tool to reduces medical claim denials.,"28,720",,"25,866",https://www.embercopilot.ai/,support@embercopilot.ai,https://www.linkedin.com/company/embercopilot/about/,,2025-11-19,Seed,4300000,USD,4300000
Kabilah,https://www.crunchbase.com/organization/kabilah,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Hospital","Stanford, California, United States",Kabilah is simplifying patient handoff for inpatient nurses.,"28,736",,"25,882",https://www.kabilah.com,founders@kabilah.com,https://www.linkedin.com/company/kabilah/about/,,2024-04-03,Pre-Seed,500000,USD,500000
i-Lumen Scientific,https://www.crunchbase.com/organization/i-lumen-scientific,Health Care,1-10,"Health Care, Medical, Therapeutics","Bloomington, Minnesota, United States",i-Lumen Scientific specializes in developing noninvasive therapy for dry age-related macular degeneration.,"28,768",,"25,913",https://www.i-lumen.com/,info@i-lumen.com,https://www.linkedin.com/company/i-lumen-scientific-inc/,,2022-04-26,Venture - Series Unknown,18025002,USD,18025002
Mito Health,https://www.crunchbase.com/organization/mito-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Medical, Personal Health","Singapore, Central Region, Singapore",Mito Health is an AI-powered medical healthtech that provides advances to revolutionize the future of personalized preventative care.,"28,775",,"25,919",https://mitohealth.com,,https://www.linkedin.com/company/mitohealth,,2025-03-17,Seed,2200000,USD,2200000
LifeX,https://www.crunchbase.com/organization/lifex-76bf,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Life Science, Medical","Pittsburgh, Pennsylvania, United States","LifeX helps early-stage life sciences companies align commercialization, capital, infrastructure, and resources.","28,782",,"25,926",https://lifexglobal.com,,https://www.linkedin.com/company/lifexglobal,,2023-11-15,Grant,2000000,USD,2000000
Fluid-Screen,https://www.crunchbase.com/organization/fluid-screen,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",1-10,"Biotechnology, Health Diagnostics, Medical, Nanotechnology, Pharmaceutical, Test and Measurement","Beverly, Massachusetts, United States",Fluid-Screen is a biotech company that provides chip technology for bacterial capture.,"28,787",,"25,931",http://www.fluidscreen.com/,info@fluid-screen.com,https://www.linkedin.com/company/fluid-screen,,2022-05-31,Series A,1165000,USD,1165000
Otis,https://www.crunchbase.com/organization/otis-e994,"Community and Lifestyle, Health Care, Software",1-10,"Pet, SaaS, Telehealth","New York, New York, United States",Otis connects pet owners with professionals for virtual pet health consultations and prescriptions.,"28,846",,"25,981",https://www.otisforpets.com/,hello@otisforpets.com,https://www.linkedin.com/company/otisvet/,+1 866-773-5890,2025-02-24,Pre-Seed,2250000,USD,2250000
Cadrenal Therapeutics,https://www.crunchbase.com/organization/cadrenal-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Health Care, Medical, Therapeutics","Ponte Vedra Beach, Florida, United States",Cadrenal Therapeutics develops a late-stage novel therapy for patients with end-stage renal disease and atrial fibrillation.,"28,906",,"26,033",https://www.cadrenal.com/,,https://www.linkedin.com/company/cadrenal/,904.300.0701,2024-11-01,Post-IPO Equity,4700000,USD,4700000
Purple AI,https://www.crunchbase.com/organization/purple-ai,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Diagnostics, Medical","Seocho, Seoul-t'ukpyolsi, South Korea",Purple AI is a brain disease AI platform company.,"28,921",,"26,047",https://www.purple-ai.co,purpleai@purple-ai.co,https://www.linkedin.com/company/purple-ai-inc,,2025-07-29,Seed,,,
Piramidal,https://www.crunchbase.com/organization/piramidal-8584,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Wellness","San Francisco, California, United States",Piramidal offers AI software that transforms brain activity into easy-to-understand health data to help diagnose diseases.,"28,974",,"26,099",https://piramidal.ai,,https://www.linkedin.com/company/piramidalai,,2024-12-15,Seed,1500000,USD,1500000
Rarebird,https://www.crunchbase.com/organization/revel-technologies,"Commerce and Shopping, Food and Beverage, Health Care",1-10,"Coffee, E-Commerce, Food and Beverage, Mental Health","San Leandro, California, United States",Rarebird is a coffee company featuring Arabica coffee beans that deliver improved mental wellness outcomes.,"28,997",,"26,121",https://www.rarebird.coffee/,contact@rarebird.coffee,https://www.linkedin.com/company/revel-technologies-inc/,,2025-02-11,Venture - Series Unknown,1000000,USD,1000000
EnVision Endoscopy,https://www.crunchbase.com/organization/envision-endoscopy,Health Care,1-10,"Health Care, Medical Device","Lowell, Massachusetts, United States",EnVision Endoscopy is a medical device that provides endoscopic surgeries with solutions.,"29,006",,"26,129",https://www.envisionendoscopy.com/,azadeh.khanicheh@envisionendoscopy.com,https://www.linkedin.com/company/envison-endoscopy/,,2026-03-30,Series A,499999,USD,499999
Syantra,https://www.crunchbase.com/organization/syantra,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Therapeutics","Calgary, Alberta, Canada",Syantra is a precision biotechnology company that transforms cancer detection and treatment.,"29,027",,"26,150",https://www.syantra.com,info@syantra.com,https://www.linkedin.com/company/syantra-inc,+1 877-331-0516,2025-09-04,Undisclosed,,,
Little Sparrows Technologies,https://www.crunchbase.com/organization/little-sparrows-tech,"Community and Lifestyle, Health Care",1-10,"Baby, Health Care, Medical Device","Boston, Massachusetts, United States","Little Sparrows Technologies is a lightweight, portable, and power-adaptable device for treating infant jaundice.","29,040",,"26,161",https://little-sparrows-tech.com/,INFO@LITTLESPARROWSTECH.COM,https://www.linkedin.com/company/little-sparrows-technologies/,(781) 725-2460,2024-05-08,Seed,3000000,USD,3000000
PanTher Therapeutics,https://www.crunchbase.com/organization/panther-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Therapeutics","Cambridge, Massachusetts, United States",PanTher Therapeutics features treatment platform designed to enhance therapeutic response with minimal side effects.,"29,045",,"26,166",https://www.panthertx.com/,info@panthertx.com,https://www.linkedin.com/company/panther-therapeutics,,2023-06-06,Non-equity Assistance,,,
Find therapeutics,https://www.crunchbase.com/organization/find-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Clinical Trials, Therapeutics","Quebec, Quebec, Canada",Find therapeutics is operator of a drug discovery and development company intended to emerge with a new therapeutic modality.,"29,052",,"26,173",https://www.findtherapeutics.com/,info@findtherapeutics.com,https://www.linkedin.com/company/find-therapeutics,+1-438-399-0175,2026-01-09,Series A,10000000,CAD,7210445
Precision Epigenomics,https://www.crunchbase.com/organization/precision-epigenomics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Diagnostics, Medical, Oncology","Tucson, Arizona, United States",Precision Epigenomics is a molecular diagnostic company that develops molecular diagnostic assays for cancer diagnosis.,"29,085",,"26,204",http://precision-epigenomics.com,info@precision-epigenomics.com,https://www.linkedin.com/company/precision-epigenomics-inc,,2025-09-22,Debt Financing,265000,USD,265000
Holly Health,https://www.crunchbase.com/organization/holly-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, mHealth, Wellness","London, England, United Kingdom","Digital coach, providing compassionate, population scaleable health behaviour change support","29,127",,"26,243",http://www.hollyhealth.io,hello@hollyhealth.io,https://www.linkedin.com/company/67882376/,,2023-12-07,Seed,327000,GBP,411612
Immi,https://www.crunchbase.com/organization/immi-39c9,"Food and Beverage, Health Care, Manufacturing",1-10,"Food and Beverage, Manufacturing, Nutrition","San Francisco, California, United States",Immi is a food and beverage company that manufactures low net carb and high protein instant ramen.,"29,135",,"26,251",https://immieats.com,fam@immieats.com,https://www.linkedin.com/company/immieats,+1 707 641 4763,2024-12-12,Undisclosed,3000000,USD,3000000
